Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
BBC News (World),Guatemala's Fuego volcano: How the tragedy unfolded https://t.co/EGvkLR8nfd,Tue Jun 05 14:44:17 +0000 2018,-0.66,0.00,0.39,0.61
BBC News (World),"Crocodile kills pastor conducting baptism ceremony near lake in southern Ethiopia

https://t.co/GcfmZGSvma https://t.co/VMIidPqr2g",Tue Jun 05 14:43:49 +0000 2018,-0.54,0.00,0.23,0.77
BBC News (World),"RT @BBCSport: Everyone's been loving Nigeria's kit 🔥

Here are the rest of the home shirts each team will be wearing in Russia.

👉 https://…",Tue Jun 05 14:20:43 +0000 2018,0.60,0.15,0.00,0.85
BBC News (World),Weinstein pleads not guilty to rape charge https://t.co/5AaHFpnem8,Tue Jun 05 14:14:11 +0000 2018,0.72,0.50,0.00,0.50
BBC News (World),Harvey Weinstein arrives at Manhattan Supreme Court where he's expected to plead not guilty to charges of rape and… https://t.co/87t77LrLX3,Tue Jun 05 13:58:41 +0000 2018,0.26,0.27,0.17,0.56
BBC News (World),Ben Lecomte's bid to be the first to swim the Pacific Ocean https://t.co/JXkflWOYk2,Tue Jun 05 12:58:54 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Crocodile kills Ethiopian pastor during lake baptism https://t.co/K6seIFU0KL,Tue Jun 05 12:42:41 +0000 2018,-0.54,0.00,0.33,0.67
BBC News (World),Police officer pulls king cobra from minivan in China https://t.co/fhKn3uNWt9,Tue Jun 05 12:37:53 +0000 2018,0.00,0.00,0.00,1.00
BBC News (World),Qatar boss: 'Only men can run airlines' https://t.co/RBmiywq59c,Tue Jun 05 12:30:57 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"""Your own story doesn't go away"" because you're working in the White House, former President Obama's deputy nationa… https://t.co/fQJj9kC0UB",Thu Jun 07 01:04:45 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Stormy Daniels suit claims ex-lawyer colluded with Michael Cohen, Pres. Trump and Fox News https://t.co/jgl0XuTmao https://t.co/6bJpRUl8sM",Thu Jun 07 00:44:54 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"RT @CBSThisMorning: WATCH: @Oprah Winfrey is checking out her brand new #WatchingOprah exhibit for the first time, opening Friday at @NMAAH…",Thu Jun 07 00:41:14 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"GOP Sen. Ernst says EPA chief Scott Pruitt ""did lie"" on ethanol pledge, is ""undercutting"" President Trump… https://t.co/zjKrVhv1zN",Thu Jun 07 00:24:56 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Netflix announced on Wednesday that it is renewing hit teen drama ""13 Reasons Why"" for another season… https://t.co/sfdZ1fNDqn",Thu Jun 07 00:04:33 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"""When you're my age, there's gotta be some things you can get away with,"": Equity Group Investments founder uses cr… https://t.co/xqSGHxLMJQ",Wed Jun 06 23:39:47 +0000 2018,0.00,0.00,0.00,1.00
CBS News,A Texas courtroom burst into chaos on Tuesday after defendant Daniel Moreno Lopez was found guilty of a gruesome mu… https://t.co/Y1xDcN3nEo,Wed Jun 06 23:19:36 +0000 2018,-0.76,0.00,0.28,0.72
CBS News,This alligator is a fighter: Florida animal knocks Fish and Wildlife officer out cold as he tries to escape capture… https://t.co/cXR9QwsgKK,Wed Jun 06 23:15:01 +0000 2018,0.32,0.15,0.00,0.84
CBS News,"Robert F. Kennedy died 50 years ago today, assassinated as he campaigned for president. 

@jdickerson takes us back… https://t.co/so22oxexXm",Wed Jun 06 23:03:14 +0000 2018,-0.56,0.00,0.17,0.83
